nutrient,zero_value_counts,observation_count,z_score_zero_value_counts,percent_zero,outlier_count,variation_coefficient,missing_rate,median_value,tertile_zero_value,rmse_mcar_rand_scaled,rmse_mar_rand_scaled,rmse_mcar_const_scaled,rmse_mar_const_scaled,rmse_mcar_rand_unscaled,rmse_mar_rand_unscaled,rmse_mcar_const_unscaled,rmse_mar_const_unscaled
alcohol,8715,8789,1.964985176330409,0.9915803845716236,74,13.615567181006332,0.0,0.0,1,0.4220846303214213,0.4412294598167234,0.10591112426604445,0.12184164250569995,0.1936622763623049,0.202446378240701,0.048594495665122764,0.05590378862079442
galactose,8602,8789,1.92241509092854,0.9787234042553192,187,16.214745913970923,0.0,0.0,1,1.1788041621081535,0.44021734858997946,1.0485024806454777,0.3073554769502082,0.08989877915156969,0.03357216107192738,0.07996162265585695,0.02343975734617034
theobromine,8545,8789,1.900941685017863,0.972238024803732,244,12.982804957781568,0.0,0.0,1,0.7700215779599786,0.307330606213592,0.1701655970715312,0.193388212381113,51.74700114396968,20.653236397027758,11.435471155451651,12.996078151058706
caffeine,8488,8789,1.8794682791071864,0.9657526453521448,301,31.458645225319493,0.0,0.0,1,0.6580707488674075,0.39717215090252794,0.22946446832238068,0.20800279969413032,33.1569333361592,20.01154318571638,11.561580596684669,10.4802345683175
lactose,8390,8789,1.842549089997601,0.9546023438388896,399,13.917777654820837,0.0,0.0,1,0.2737501787166596,0.2779736645180088,0.21565236900248258,0.15611061540185112,0.5573127982987454,0.5659111513017884,0.4390347015423788,0.3178169417854756
maltose,8092,8789,1.730284616990903,0.920696324951644,697,6.143803079959047,0.0,0.0,1,0.48837661840730956,0.31079153217057043,0.18538171723057045,0.23982504612079478,0.21605138250760694,0.13749008194003612,0.08201043059817809,0.10609544229822172
carotene_alpha,8000,8789,1.6956257863982311,0.9102286949596086,789,12.871047717820195,0.0,0.0,1,0.8162269244030721,0.7053087447513429,0.3325657422014034,0.5651715093522138,196.22819419689696,169.56248309241334,79.95174888084001,135.87224908660014
cryptoxanthin_beta,7976,8789,1.6865843523305777,0.9074980088747298,813,18.482390386465752,0.0,0.0,1,0.27828859566356134,2.09301709662217,0.22854728246448303,2.0857837433057567,31.780415705752205,239.0214862651192,26.09998289939626,238.19544085934876
folic_acid,7606,8789,1.5471955771209194,0.8653999317328479,1183,5.711113479433983,0.0,0.0,1,0.5404074472900743,0.5270974670181484,0.31874744480669603,0.4969675302789618,56.23051083887098,54.84558079454889,33.16633018154455,51.71049823914825
fructose,7605,8789,1.5468188507014338,0.8652861531459779,1184,5.863017618961281,0.0,0.0,1,0.5843233273757615,1.3049075364267586,0.5477791965860352,0.6452525777130728,0.580152685549956,1.295593671202128,0.5438694000284366,0.640647044074367
sucrose,7584,8789,1.538907595892237,0.862896802821709,1205,6.850189526297954,0.0,0.0,1,0.49742822789782754,0.44526158790631515,0.1554275374757113,0.11662895425273324,1.7178029999119877,1.537652396562158,0.5367485956883126,0.4027627684284203
hydroxyproline,7533,8789,1.5196945484984732,0.8570940948913415,1256,3.0438729527839934,0.0,0.0,1,0.35508305228581377,0.29978346491982066,0.17656396358094445,0.19435463672503284,0.030139735349162103,0.02544586196809391,0.014986890928547172,0.01649697834655925
glucose,7453,8789,1.4895564349396282,0.8479918079417453,1336,5.859980440550598,0.0,0.0,1,0.8576600364800854,1.2138812337007314,0.782950111383233,0.9547249109780492,1.2163662000244213,1.721572661857281,1.1104097609856585,1.354027316137877
lutein_zeaxanthin,6603,8789,1.1693389783768997,0.751280009102287,2186,7.550377298531826,0.0,0.0,1,12.102918362320388,12.233406706240599,1.2531661472766258,1.2078709797493157,9223.798442336556,9744.605575431744,955.0549543235916,962.1380770902769
vitamin_d,6469,8789,1.118857638165834,0.7360336784617135,1938,8.491550454028017,0.0,0.0,1,1.458198962977905,0.5701341226266187,1.4555253096060876,0.46216611258157847,196.0621651558137,76.65738763084015,195.70267884553343,62.14054121695183
carotene_beta,6359,8789,1.077417732022422,0.7235180339060189,1862,7.2733751453054785,0.0,0.0,1,2.828861270090533,1.9644876366016144,0.5369033278945008,0.768509767411364,2818.952037536981,1957.606187104079,535.0226084869403,765.8177375440345
vitamin_c,4911,8789,0.5319178766073265,0.5587666401183298,1631,7.853105633923881,0.0,0.0,2,1.0636399181005778,0.5563386445926086,0.2314547382882306,0.14605725436180503,49.035057937014535,25.64786930052653,10.670337412505434,6.733412298955205
vitamin_k,4652,8789,0.4343457339605656,0.5292979861190124,1381,6.6831928096309055,0.0,0.0,2,1.5037301000107035,0.5057367503012085,0.1787894218637629,0.33778775647768894,93.01965554064523,31.284508219640824,11.059784095926494,20.895304989211713
choline,4183,8789,0.2576610432218364,0.4759358288770053,1085,2.1676333100170324,0.0,1.6,2,0.7671363045170051,0.42704816049793426,0.23971898089763333,0.30483971821014033,42.64023749019447,23.736896470084428,13.32445661685409,16.944106062316756
vitamin_b12,4135,8789,0.2395781750865294,0.4704744567072477,733,3.5548405093911013,0.0,0.07,2,0.6102261502075754,0.6032407816977039,0.5519302327799525,0.46691554781176725,2.810300844157185,2.7781307077948103,2.541828106083264,2.1503062199315464
cholesterol,4079,8789,0.2184814955953379,0.4641028558425304,184,3.030724720773924,0.0,2.0,2,0.33661746646181123,0.1884444959083988,0.11883445216693539,0.1269857468227538,43.10622148933872,24.13163672096333,15.217582533795929,16.261413506102148
