nutrient,zero_value_counts,observation_count,z_score_zero_value_counts,percent_zero,outlier_count,variation_coefficient,missing_rate,median_value,tertile_zero_value,rmse_mcar_rand_scaled,rmse_mar_rand_scaled,rmse_mcar_const_scaled,rmse_mar_const_scaled,rmse_mcar_rand_unscaled,rmse_mar_rand_unscaled,rmse_mcar_const_unscaled,rmse_mar_const_unscaled
alcohol,8715,8789,1.964985176330409,0.9915803845716236,74,13.615567181006332,0.0,0.0,1,0.14526638377285073,0.24696578149577578,0.12497545316715208,0.23931734744192648,0.06665160958538079,0.11331366319817232,0.057341656201224805,0.1098043886636712
galactose,8602,8789,1.92241509092854,0.9787234042553192,187,16.214745913970923,0.0,0.0,1,1.2451125572624253,0.5705173458227139,1.2439328560737712,0.5621749815404006,0.0949556358589315,0.043509190485602214,0.09486566861799425,0.04287297846258777
theobromine,8545,8789,1.900941685017863,0.972238024803732,244,12.982804957781568,0.0,0.0,1,0.12874022134752325,0.2761966275906736,0.11296911760841068,0.220313257227839,8.651602259325873,18.560969645970115,7.591752264504787,14.805495392910142
caffeine,8488,8789,1.8794682791071864,0.9657526453521448,301,31.458645225319493,0.0,0.0,1,0.1258041447327953,0.47568184326850455,0.1040641542344958,0.37383826478884113,6.338649082622777,23.967256378926546,5.24327825539512,18.835863148498383
lactose,8390,8789,1.842549089997601,0.9546023438388896,399,13.917777654820837,0.0,0.0,1,0.10770474281831995,0.28252983235381046,0.08769520950914723,0.28247697440560565,0.21927011155200202,0.5751868191048799,0.17853381232707244,0.5750791953369353
maltose,8092,8789,1.730284616990903,0.920696324951644,697,6.143803079959047,0.0,0.0,1,0.1658390763627758,0.3053266719934952,0.1593871170816859,0.2562150208742155,0.07336502415490888,0.13507249961077394,0.07051076010877172,0.1133461512870786
carotene_alpha,8000,8789,1.6956257863982311,0.9102286949596086,789,12.871047717820195,0.0,0.0,1,0.28184554410082424,0.5932437402508166,0.2775922183428529,0.5933374682920025,67.75816161352385,142.6210604780345,66.7356275677952,142.64359570309057
cryptoxanthin_beta,7976,8789,1.6865843523305777,0.9074980088747298,813,18.482390386465752,0.0,0.0,1,0.17995109664402428,2.977784701548224,0.17153799356638433,2.9784246622900983,20.550323795176883,340.0614969760097,19.589551496573115,340.1345802585843
folic_acid,7606,8789,1.5471955771209194,0.8653999317328479,1183,5.711113479433983,0.0,0.0,1,0.3506484456091484,0.32177710592665326,0.3406092594169554,0.33774635271553377,36.485694286208776,33.481572126215006,35.441096766911194,35.14320552073375
fructose,7605,8789,1.5468188507014338,0.8652861531459779,1184,5.863017618961281,0.0,0.0,1,0.5635952439034465,1.0050827113713996,0.561390015539343,0.9982207673244096,0.5595725590396382,0.9979089016796985,0.557383059789968,0.991095889247577
sucrose,7584,8789,1.538907595892237,0.862896802821709,1205,6.850189526297954,0.0,0.0,1,0.16622786026143896,0.2028575105626696,0.1484854258116501,0.19918148990064793,0.5740460969405264,0.700541764179052,0.5127749350032443,0.6878470971343462
hydroxyproline,7533,8789,1.5196945484984732,0.8570940948913415,1256,3.0438729527839934,0.0,0.0,1,0.18076279836920406,0.3945603016116916,0.13720894207276674,0.3732994556939244,0.015343292024161065,0.03349059564153875,0.011646405745569457,0.03168595845289513
glucose,7453,8789,1.4895564349396282,0.8479918079417453,1336,5.859980440550598,0.0,0.0,1,0.8512136326043416,1.3964870713210544,0.8514654090461818,1.3955220353066795,1.2072236755428696,1.9805512484446102,1.207580738173229,1.9791825766899958
lutein_zeaxanthin,6603,8789,1.1693389783768997,0.751280009102287,2186,7.550377298531826,0.0,0.0,1,0.3255460844609096,0.44969551176483624,0.2984647952767876,0.4302165603033159,275.8416048482593,381.03587272533537,252.89509545227074,364.5309534107606
vitamin_d,6469,8789,1.118857638165834,0.7360336784617135,1938,8.491550454028017,0.0,0.0,1,1.1990704341693295,0.7851388784358473,1.1850303870693102,0.7821541904362135,161.22103361644662,105.56585920755573,159.33328244952756,105.16455471685099
carotene_beta,6359,8789,1.077417732022422,0.7235180339060189,1862,7.2733751453054785,0.0,0.0,1,0.41013206388216084,0.974658481137033,0.3997571102057899,0.968324231160502,408.6953971462674,971.2443422897765,398.35679598717627,964.9322506520044
vitamin_c,4911,8789,0.5319178766073265,0.5587666401183298,1631,7.853105633923881,0.0,0.0,2,0.16285547050850074,0.28457520238968587,0.10602231345577286,0.2587140727070862,7.507829847069361,13.11925406159391,4.887754072483347,11.927025361262302
vitamin_k,4652,8789,0.4343457339605656,0.5292979861190124,1381,6.6831928096309055,0.0,0.0,2,0.22255675726648072,0.32402050464216664,0.2000539061568523,0.2697885200297761,13.767199811872143,20.043673454418574,12.37518949598931,16.688922427554417
choline,4183,8789,0.2576610432218364,0.4759358288770053,1085,2.1676333100170324,0.0,1.6,2,0.17775606285159698,0.608775793972703,0.16601385078394804,0.6056651695416779,9.880330928573596,33.83798195508093,9.22765611121404,33.66508370513452
vitamin_b12,4135,8789,0.2395781750865294,0.4704744567072477,733,3.5548405093911013,0.0,0.07,2,0.4976399488255289,0.46616172300300224,0.34885422146892275,0.4485870678643224,2.2918027017804046,2.1468346404806398,1.6065934052077793,2.0658974093516513
cholesterol,4079,8789,0.2184814955953379,0.4641028558425304,184,3.030724720773924,0.0,2.0,2,0.0764790941645563,0.23221531835562084,0.0625699330919446,0.21615502858519658,9.79368312319921,29.736795685219402,8.012517621100617,27.680164408829455
fatty_acids_total_trans,4079,8789,0.2184814955953379,0.4641028558425304,184,3.030724720773924,0.0,2.0,2,0.0774637256212935,0.2318905308127592,0.06430363025276137,0.2158921417791946,9.919772116032878,29.695202930919532,8.234529699741818,27.646498320485147
fiber,4053,8789,0.2086866086887132,0.4611446125839117,805,2.092661091596081,0.0,0.4,2,0.35471276705592086,0.2675748390644897,0.30677477872821346,0.2336341984657962,1.5911538187139385,1.2002745925083906,1.376115860216586,1.048025222320184
vitamin_a_rae,4025,8789,0.1981382689431174,0.4579588121515531,1422,8.365676991009403,0.0,2.0,2,0.3755074137354078,0.9939752647333763,0.3736450234622213,0.989328721033568,316.68456729459405,838.2701150278078,315.1139208959445,834.3514484728979
sugars,3966,8789,0.1759114101934692,0.4512458755262259,1230,2.030535099452972,0.0,0.49,2,3.50446035730742,3.2356306349945183,0.9896643871349108,0.8840559127971687,46.13620094586848,43.811630276590016,13.0289260672138,11.970442691335915
aspartic_acid,3949,8789,0.1695070610622146,0.4493116395494368,41,1.3596170574055024,0.0,0.145,2,0.34068184320202005,0.4918959580282209,0.32223453336576097,0.4904198347511137,0.3685474963408751,0.532130000169857,0.34859131384842745,0.530533132125658
cystine,3910,8789,0.1548147307022777,0.4448742746615087,42,1.3413510377023,0.0,0.017,2,0.4409323473684477,0.7644472351371712,0.3793683932441707,0.7078601530372365,0.06233251734601759,0.10806628657278437,0.05362951282948816,0.10006683778118836
tryptophan,3810,8789,0.1171420887537214,0.4334964159745136,60,1.3364107124505595,0.0,0.021,2,0.3403895928133715,0.5447560726318452,0.3345757640111252,0.5403485326368601,0.04452141066103289,0.07125161748893025,0.04376098794028441,0.07067513214713067
proline,3805,8789,0.1152584566562935,0.4329275230401638,96,1.334759172651495,0.0,0.088,2,0.40934135617668826,0.8448893960243614,0.31436190919635104,0.7718104252554044,0.24810525627683405,0.5120946105220243,0.19053741403572794,0.46780083159769004
serine,3799,8789,0.1129980981393802,0.4322448515189441,53,1.296711853879838,0.0,0.085,2,0.18995498971840424,0.4201053818590922,0.18853834092379612,0.3989192794535474,0.09178940698154064,0.2030019034361751,0.09110485780356276,0.19276442231124133
glycine,3798,8789,0.1126213717198946,0.4321310729320742,47,1.5246326430115988,0.0,0.064,2,0.3331427751899891,1.0017891155488423,0.2598608860111014,1.0030040577013473,0.22612699726457483,0.6799834291621532,0.17638552277636058,0.6808081036346523
alanine,3797,8789,0.112244645300409,0.4320172943452042,24,1.3537071128176668,0.0,0.085,2,0.2277867721938422,0.42675734809188387,0.2009508094146349,0.4196112625970573,0.15365351631998245,0.28786907017965707,0.13555132178738943,0.28304867872090633
glutamic_acid,3790,8789,0.1096075603640101,0.4312208442371146,38,1.2463075474155878,0.0,0.336,2,0.27979352713118366,0.39338000222399516,0.2099936584114332,0.32997491877440194,0.521707478007341,0.7335026304662623,0.3915575253568328,0.615276520767555
