nutrient,zero_value_counts,observation_count,z_score_zero_value_counts,percent_zero,outlier_count,variation_coefficient,missing_rate,median_value,tertile_zero_value,rmse_mcar_rand_scaled,rmse_mar_rand_scaled,rmse_mcar_const_scaled,rmse_mar_const_scaled,rmse_mcar_rand_unscaled,rmse_mar_rand_unscaled,rmse_mcar_const_unscaled,rmse_mar_const_unscaled
alcohol,8715,8789,1.964985176330409,0.9915803845716236,74,13.615567181006332,0.0,0.0,1,0.13471335911641827,0.25444906178814697,0.11926185565759768,0.2284657057125684,0.06180963390837727,0.11674717233203395,0.05472012315345453,0.10482540080264588
galactose,8602,8789,1.92241509092854,0.9787234042553192,187,16.214745913970923,0.0,0.0,1,0.5224953771950765,0.22986671052336807,0.5219354952910293,0.22947461198851704,0.03984690038841207,0.01753025579037465,0.03980420155969493,0.017500351841641188
theobromine,8545,8789,1.900941685017863,0.972238024803732,244,12.982804957781568,0.0,0.0,1,0.17951366383965345,0.4844651690466393,0.1452952104392408,0.4780883273031581,12.06367998069351,32.557036321003395,9.764130818297737,32.12849929350423
caffeine,8488,8789,1.8794682791071864,0.9657526453521448,301,31.458645225319493,0.0,0.0,1,0.30426933872691536,0.17989971055075585,0.2557836576500294,0.1748241932181156,15.330628341975263,9.06425567604268,12.887674451713822,8.8085272165219
lactose,8390,8789,1.842549089997601,0.9546023438388896,399,13.917777654820837,0.0,0.0,1,0.16567886674553736,0.1861266751705647,0.13738896549782972,0.18106476756605025,0.33729641621722894,0.3789249711488612,0.27970257385156405,0.36861971118116815
maltose,8092,8789,1.730284616990903,0.920696324951644,697,6.143803079959047,0.0,0.0,1,0.14171591835808264,0.3265526436168545,0.14004096011851638,0.30491490047519887,0.06269325692556343,0.14446259126451916,0.061952275845731986,0.13489033611986806
carotene_alpha,8000,8789,1.6956257863982311,0.9102286949596086,789,12.871047717820195,0.0,0.0,1,0.23557587883678485,0.6642731733071837,0.23395811379552206,0.6586217781084648,56.634531703975284,159.69716340725012,56.24560745191516,158.3385111610764
cryptoxanthin_beta,7976,8789,1.6865843523305777,0.9074980088747298,813,18.482390386465752,0.0,0.0,1,0.17462794272435717,2.9424116289715605,0.1625384503076762,2.9423638025863394,19.942421888274822,336.02190946973684,18.56180803383988,336.0164482561737
folic_acid,7606,8789,1.5471955771209194,0.8653999317328479,1183,5.711113479433983,0.0,0.0,1,0.4549871562311629,0.5160374925173269,0.43620560020713456,0.514049684404853,47.34235270052775,53.69476728311996,45.3880936125868,53.48793198923924
fructose,7605,8789,1.5468188507014338,0.8652861531459779,1184,5.863017618961281,0.0,0.0,1,0.5251151669332286,0.9884510919680292,0.5149834287063033,0.9847245255434289,0.5213670978936087,0.9813959635673921,0.5113076734481353,0.9776959535138428
sucrose,7584,8789,1.538907595892237,0.862896802821709,1205,6.850189526297954,0.0,0.0,1,0.23550205592830376,0.21169138086665498,0.18720308343143188,0.20323651253368138,0.8132754073680217,0.731048366836644,0.6464812600668893,0.7018505804531779
hydroxyproline,7533,8789,1.5196945484984732,0.8570940948913415,1256,3.0438729527839934,0.0,0.0,1,0.1762981805896406,0.3372965968430029,0.16129809164302608,0.312564316499573,0.014964331593804451,0.028630006783437766,0.013691111655341108,0.02653071063619013
glucose,7453,8789,1.4895564349396282,0.8479918079417453,1336,5.859980440550598,0.0,0.0,1,0.7536702437058524,1.422354445065027,0.745363038709997,1.4225355167024958,1.0688839176223879,2.0172373524069998,1.0571023092637792,2.017494168414406
lutein_zeaxanthin,6603,8789,1.1693389783768997,0.751280009102287,2186,7.550377298531826,0.0,0.0,1,0.26527727565226805,0.4755719261351446,0.256920379440923,0.46647329195632187,224.77465335857954,402.9614665483412,217.69368861403998,395.2520429801686
vitamin_d,6469,8789,1.118857638165834,0.7360336784617135,1938,8.491550454028017,0.0,0.0,1,0.2430295954382301,1.8443561930775654,0.21668628588357794,1.8452849467301735,32.67654812662665,247.98293943934632,29.13455827431287,248.10781634004988
carotene_beta,6359,8789,1.077417732022422,0.7235180339060189,1862,7.2733751453054785,0.0,0.0,1,0.30337921532854123,1.010300559684239,0.30316835012806864,1.0107677798619532,302.31650618796533,1006.7615605875967,302.1063746628349,1007.2271410692172
vitamin_c,4911,8789,0.5319178766073265,0.5587666401183298,1631,7.853105633923881,0.0,0.0,2,0.2034133575414212,0.1872203238669864,0.19559213545172785,0.16386511205552376,9.377597820885006,8.63107829563248,9.017029768883177,7.55437528579385
vitamin_k,4652,8789,0.4343457339605656,0.5292979861190124,1381,6.6831928096309055,0.0,0.0,2,0.15328404225650838,0.3230148249094864,0.14944695351493026,0.3141630399265179,9.482039908784065,19.981460599794033,9.244680259314881,19.433895770144787
choline,4183,8789,0.2576610432218364,0.4759358288770053,1085,2.1676333100170324,0.0,1.6,2,0.16066434243675307,0.5850284935497516,0.13996371349750109,0.5324366634617759,8.930310962284146,32.51801901902565,7.779694315119838,29.594771650657762
vitamin_b12,4135,8789,0.2395781750865294,0.4704744567072477,733,3.5548405093911013,0.0,0.07,2,0.4436028229983385,0.5002467001219468,0.432566530883235,0.4722725800558829,2.0429431905840936,2.3038077522554286,1.9921172848055169,2.174977187491665
cholesterol,4079,8789,0.2184814955953379,0.4641028558425304,184,3.030724720773924,0.0,2.0,2,0.22262301006446686,0.21826412337709358,0.16126770507458127,0.20092826338995004,28.508433644566594,27.950247158117584,20.651457834140253,25.730269003289248
fatty_acids_total_trans,4079,8789,0.2184814955953379,0.4641028558425304,184,3.030724720773924,0.0,2.0,2,0.2228756955826261,0.2224421548392685,0.16119644818573542,0.20546566460900956,28.540792119772046,28.48527411147601,20.642333240343472,26.3113149025094
fiber,4053,8789,0.2086866086887132,0.4611446125839117,805,2.092661091596081,0.0,0.4,2,0.4141915719852935,0.20138657149694203,0.3370785753996235,0.19909792818627542,1.8579609620289688,0.9033703816622808,1.5120511796920002,0.8931040330428694
vitamin_a_rae,4025,8789,0.1981382689431174,0.4579588121515531,1422,8.365676991009403,0.0,2.0,2,0.25130854884582443,0.9292074010220649,0.22868843179409504,0.9299205848335318,211.94133720828,783.6480835981876,192.86464021831102,784.2495183757883
sugars,3966,8789,0.1759114101934692,0.4512458755262259,1230,2.030535099452972,0.0,0.49,2,0.32780383714325156,0.2836060360389983,0.31016950652489045,0.2542550404306833,4.398997200625036,3.8058802237473914,4.162351486910663,3.4120015047932655
aspartic_acid,3949,8789,0.1695070610622146,0.4493116395494368,41,1.3596170574055024,0.0,0.145,2,0.30813369808905455,0.5350426108116738,0.30652668742762035,0.5323901286312699,0.33333712259086284,0.5788057686019755,0.3315986680077936,0.5759363233834697
cystine,3910,8789,0.1548147307022777,0.4448742746615087,42,1.3413510377023,0.0,0.017,2,0.3401167201582837,0.7286251309377129,0.3361852915318659,0.7015353329351222,0.048080689501428936,0.10300228521812156,0.0475249218570523,0.09917272776045408
