name,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,lutein_zeaxanthin_mcar,lutein_zeaxanthin_mar,lutein_zeaxanthin
"Nuts, pecans",72.0,6.2,0,0.0,40.5,22.0,0.0,1.167,0.863,0.13,0.66,56.0,3.0,0.0,29.0,9.0,0.0,0.21,1.1,0.0,1.4,1.4,3.5,70.0,1.2,2.53,121.0,4.5,277.0,410.0,3.8,4.53,9.17,0.397,1.177,0.929,0.152,1.829,0.453,0.262,0.0,0.336,0.598,0.287,0.183,0.426,0.363,0.474,0.306,0.093,0.215,0.411,13.86,9.6,3.97,0.04,0.0,0.04,0.0,0.0,3.9,71.97,6.18,40.801,21.614,0.0,0.0,1.49,0.0,0.0,3.52,17.0,17.0,17.0
"Teff, uncooked",2.4,0.4,0,12.0,13.1,0.0,0.0,3.363,0.942,0.27,0.39,9.0,0.0,0.0,5.0,0.0,0.0,0.482,0.0,0.0,0.08,0.08,1.9,180.0,0.81,7.63,184.0,9.24,429.0,427.0,4.4,3.63,13.3,0.747,0.517,0.82,0.236,3.349,0.477,0.301,0.0,0.501,1.068,0.376,0.428,0.698,0.664,0.622,0.51,0.139,0.458,0.686,73.13,8.0,1.84,0.47,0.0,0.73,0.0,0.01,0.62,2.38,0.449,0.589,1.071,0.0,0.0,2.37,0.0,0.0,8.82,,,66.0
"Sherbet, orange",2.0,1.2,1,46.0,7.7,4.0,0.0,0.063,0.224,0.097,0.027,46.0,12.0,0.0,1.0,5.0,0.13,0.023,2.3,0.0,0.01,0.01,0.0,54.0,0.028,0.14,8.0,0.011,40.0,96.0,1.5,0.48,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,1.3,24.32,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.16,0.53,0.08,1.0,0.0,0.4,0.0,0.0,66.1,,,7.0
"Cauliflower, raw",0.3,0.1,0,30.0,44.3,57.0,0.0,0.507,0.667,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.184,48.2,0.0,0.08,0.08,15.5,22.0,0.039,0.42,15.0,0.155,44.0,299.0,0.6,0.27,1.92,0.116,0.086,0.177,0.02,0.257,0.071,0.056,0.0,0.071,0.106,0.217,0.02,0.065,0.071,0.086,0.076,0.02,0.051,0.125,4.97,2.0,1.91,0.97,0.0,0.94,0.0,0.0,0.0,0.28,0.13,0.034,0.031,0.0,0.0,0.76,0.0,0.0,92.07,,,1.0
"Taro leaves, raw",0.7,0.2,0,3.0,12.8,126.0,0.0,1.513,0.084,0.456,0.209,4825.0,241.0,0.0,2895.0,0.0,0.0,0.146,52.0,0.0,2.02,2.02,108.6,107.0,0.27,2.25,45.0,0.714,60.0,648.0,0.9,0.41,4.98,0.0,0.22,0.0,0.064,0.0,0.0,0.114,0.0,0.26,0.392,0.246,0.079,0.195,0.0,0.0,0.167,0.048,0.178,0.256,6.7,3.7,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.151,0.06,0.307,0.0,0.0,1.92,0.0,0.0,85.66,1932.0,1932.0,1932.0
"Lamb, raw, ground",23.0,10.0,73,59.0,69.3,18.0,0.0,5.96,0.65,0.21,0.11,0.0,0.0,0.0,0.0,0.0,2.31,0.13,0.0,2.0,0.2,0.2,3.6,16.0,0.101,1.55,21.0,0.019,157.0,222.0,18.8,3.41,16.56,0.996,0.984,1.457,0.198,2.402,0.809,0.524,0.0,0.799,1.288,1.462,0.425,0.674,0.694,0.615,0.709,0.193,0.556,0.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.41,10.19,9.6,1.85,73.0,0.0,0.87,0.0,0.0,59.47,0.0,0.0,0.0
"Cheese, camembert",24.0,15.0,72,842.0,15.4,62.0,0.0,0.63,1.364,0.488,0.028,820.0,241.0,0.0,12.0,0.0,1.3,0.227,0.0,18.0,0.21,0.21,2.0,388.0,0.021,0.33,20.0,0.038,347.0,187.0,14.5,2.38,19.8,0.819,0.701,1.288,0.109,4.187,0.379,0.683,0.0,0.968,1.84,1.766,0.565,1.105,2.346,1.114,0.717,0.307,1.145,1.279,0.46,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,24.26,15.259,7.023,0.724,72.0,0.0,3.68,0.0,0.0,51.8,0.0,0.0,0.0
Vegetarian fillets,18.0,2.8,0,490.0,82.0,102.0,0.0,12.0,0.0,0.9,1.1,0.0,0.0,0.0,0.0,0.0,4.2,1.5,0.0,0.0,3.45,3.45,0.0,95.0,0.925,2.0,23.0,0.0,450.0,600.0,1.0,1.4,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.849,4.376,9.332,0.0,0.0,5.0,0.0,0.0,45.0,0.0,0.0,0.0
"Crackers, rusk toast",7.2,1.4,78,253.0,0.0,87.0,23.0,4.625,0.605,0.399,0.404,41.0,12.0,0.0,0.0,0.0,0.18,0.047,0.0,0.0,0.0,0.0,0.0,27.0,0.245,2.72,36.0,0.439,153.0,245.0,20.1,1.1,13.5,0.606,0.649,0.944,0.272,3.192,0.498,0.309,0.0,0.61,1.01,0.684,0.29,0.668,1.052,0.768,0.512,0.171,0.471,0.684,72.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.376,2.755,2.31,78.0,0.0,1.2,0.0,0.0,5.5,0.0,0.0,0.0
"Chicken, boiled, feet",15.0,3.9,84,67.0,13.3,86.0,0.0,0.4,0.0,0.2,0.06,100.0,30.0,0.0,0.0,0.0,0.47,0.01,0.0,8.0,0.27,0.27,0.2,88.0,0.102,0.91,5.0,0.0,83.0,31.0,3.6,0.69,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,3.92,5.5,2.98,84.0,0.0,0.0,0.0,0.0,65.8,0.0,0.0,0.0
"Quail, raw, meat only",4.5,1.3,70,51.0,0.0,7.0,0.0,8.2,0.787,0.285,0.283,57.0,17.0,0.0,0.0,0.0,0.47,0.53,7.2,0.0,0.0,0.0,0.0,13.0,0.594,4.51,25.0,0.019,307.0,237.0,17.4,2.7,21.76,1.341,1.379,1.814,0.38,2.82,1.442,0.825,0.0,1.187,1.866,1.905,0.689,0.944,0.797,1.062,1.09,0.341,1.01,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,1.32,1.28,1.17,70.0,0.0,1.32,0.0,0.0,70.03,0.0,0.0,0.0
"Pie, lemon, fried pies",16.0,2.5,0,374.0,0.0,18.0,15.0,1.425,0.11,0.106,0.141,32.0,2.0,0.0,0.0,0.0,0.08,0.03,0.0,0.0,0.0,0.0,0.0,22.0,0.047,1.22,10.0,0.224,43.0,65.0,2.4,0.23,3.0,0.093,0.112,0.156,0.059,0.906,0.098,0.062,0.0,0.12,0.211,0.121,0.052,0.138,0.314,0.154,0.089,0.042,0.09,0.138,42.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,2.457,7.449,5.376,0.0,0.0,1.1,0.0,0.0,37.6,,0.0,0.0
"Peppers, raw, jalapeno",0.4,0.1,0,3.0,7.5,27.0,0.0,1.28,0.315,0.07,0.04,1078.0,54.0,67.0,561.0,105.0,0.0,0.419,118.6,0.0,3.58,3.58,18.5,12.0,0.046,0.25,15.0,0.097,26.0,248.0,0.4,0.14,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.8,4.12,2.63,0.0,1.48,0.0,0.0,0.0,0.37,0.092,0.029,0.112,0.0,0.0,0.53,0.0,0.0,91.69,,861.0,861.0
"Winged bean tuber, raw",0.9,0.2,0,35.0,0.0,19.0,0.0,1.64,0.116,0.149,0.379,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,30.0,1.386,2.0,24.0,0.532,45.0,586.0,0.7,1.39,11.6,0.397,0.412,1.735,0.197,0.8,0.39,0.241,0.0,0.425,0.64,0.592,0.143,0.451,0.679,0.464,0.451,0.252,0.353,0.599,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.222,0.234,0.174,0.0,0.0,2.0,0.0,0.0,57.4,,0.0,0.0
